Question,Answer
What are the indications for Clarithromycin?,"1 INDICATIONS AND USAGE Clarithromycin is a macrolide antimicrobial indicated for mild to moderate infections caused by designated, susceptible bacteria in the following: Acute Bacterial Exacerbation of Chronic Bronchitis in Adults (1.1) Acute Maxillary Sinusitis (1.2) Community-Acquired Pneumonia (1.3) Pharyngitis/Tonsillitis (1.4) Uncomplicated Skin and Skin Structure Infections (1.5) Acute Otitis Media in Pediatric Patients (1.6) Treatment and Prophylaxis of Disseminated Mycobacterial Infections (1.7) Helicobacter pylori Infection and Duodenal Ulcer Disease in Adults (1.8) Limitations of Use To reduce the development of drug-resistant bacteria and maintain the effectiveness of clarithromycin and other antibacterial drugs, clarithromycin should be used only to treat or prevent infections that are proven or strongly suspected to be caused by bacteria. (1.9) 1.1 Acute Bacterial Exacerbation of Chronic Bronchitis Clarithromycin tablets, USP are indicated in adults for the treatment of mild to moderate infections caused by susceptible isolates due to Haemophilus influenzae , Haemophilus parainfluenzae , Moraxella catarrhalis , or Streptococcus pneumoniae [see Indications and Usage (1.9) ] . 1.2 Acute Maxillary Sinusitis Clarithromycin tablets, USP are indicated for the treatment of mild to moderate infections caused by susceptible isolates due to Haemophilus influenzae , Moraxella catarrhalis , or Streptococcus pneumoniae [see Indications and Usage (1.9) ] . 1.3 Community-Acquired Pneumonia Clarithromycin tablets, USP are indicated [see Indications and Usage (1.9) ] for the treatment of mild to moderate infections caused by susceptible isolates due to: Haemophilus influenzae (in adults) Mycoplasma pneumoniae , Streptococcus pneumoniae , Chlamydophila pneumoniae 1.4 Pharyngitis/Tonsillitis Clarithromycin tablets, USP are indicated for the treatment of mild to moderate infections caused by susceptible isolates due to Streptococcus pyogenes as an alternative in individuals who cannot use first line therapy. 1.5 Uncomplicated Skin and Skin Structure Infections Clarithromycin tablets, USP are indicated for the treatment of mild to moderate infections caused by susceptible isolates due to Staphylococcus aureus , or Streptococcus pyogenes . 1.6 Acute Otitis Media Clarithromycin tablets, USP are indicated in pediatric patients for the treatment of mild to moderate infections caused by susceptible isolates due to Haemophilus influenzae , Moraxella catarrhalis , or Streptococcus pneumoniae [see Clinical Studies (14.2) ] . 1.7 Treatment and Prophylaxis of Disseminated Mycobacterial Infections Clarithromycin tablets, USP are indicated for the treatment of mild to moderate infections caused by susceptible isolates due to Mycobacterium avium or Mycobacterium intracellulare in patients with advanced HIV infection [see Clinical Studies (14.1) ] . 1.8 Helicobacter pylori Infection and Duodenal Ulcer Disease Clarithromycin tablet, USP is given in combination with other drugs in adults as described below to eradicate H. pylori . The eradication of H. pylori has been demonstrated to reduce the risk of duodenal ulcer recurrence [see Clinical Studies (14.3) ] . Clarithromycin tablets, USP in combination with amoxicillin and PREVACID (lansoprazole) or PRILOSEC (omeprazole) Delayed-Release Capsules, as triple therapy, are indicated for the treatment of patients with H. pylori infection and duodenal ulcer disease (active or five-year history of duodenal ulcer) to eradicate H. pylori . Clarithromycin tablets, USP in combination with PRILOSEC (omeprazole) capsules are indicated for the treatment of patients with an active duodenal ulcer associated with H. pylori infection. Regimens which contain clarithromycin tablets, USP as the single antibacterial agent are more likely to be associated with the development of clarithromycin resistance among patients who fail therapy. Clarithromycin-containing regimens should not be used in patients with known or suspected clarithromycin resistant isolates because the efficacy of treatment is reduced in this setting. 1.9 Limitations of Use There is resistance to macrolides in certain bacterial infections caused by Streptococcus pneumoniae and Staphylococcus aureus . Susceptibility testing should be performed when clinically indicated. 1.10 Usage To reduce the development of drug-resistant bacteria and maintain the effectiveness of clarithromycin and other antibacterial drugs, clarithromycin should be used only to treat or prevent infections that are proven or strongly suspected to be caused by susceptible bacteria. When culture and susceptibility information are available, they should be considered in selecting or modifying antibacterial therapy. In the absence of such data, local epidemiology and susceptibility patterns may contribute to the empiric selection of therapy."
What are the common side effects of Clindamycin?,"DRUG HYPERSENSITIVITY, DRUG INEFFECTIVE, DIARRHOEA, RASH, NAUSEA"
What is the AWARE status of Clindamycin?,Access
What are the indications for Clindamycin?,"INDICATIONS AND USAGE Clindamycin phosphate topical lotion is indicated in the treatment of acne vulgaris. In view of the potential for diarrhea, bloody diarrhea and pseudomembranous colitis, the physician should consider whether other agents are more appropriate (see CONTRAINDICATIONS , WARNINGS and ADVERSE REACTIONS )."
What are the common side effects of Erythromycin?,"DRUG HYPERSENSITIVITY, NAUSEA, VOMITING, RASH, DRUG INEFFECTIVE"
What is the AWARE status of Erythromycin?,Watch
What are the indications for Erythromycin?,"INDICATIONS AND USAGE Erythromycin Topical Solution USP, 2% is indicated for the topical treatment of acne vulgaris."
What are the common side effects of Imipenem?,"DRUG INEFFECTIVE, OFF LABEL USE, PYREXIA, EPILEPSY, PNEUMONIA"
What is the AWARE status of Imipenem?,Reserve
What are the indications for Imipenem?,"1 INDICATIONS AND USAGE Imipenem and Cilastatin for Injection, USP for intravenous use is a combination of imipenem, a penem antibacterial, and cilastatin, a renal dehydropeptidase inhibitor, indicated for the treatment of the following serious infections caused by designated susceptible bacteria: Lower respiratory tract infections. ( 1.1 ) Urinary tract infections. ( 1.2 ) Intra-abdominal infections. ( 1.3 ) Gynecologic infections. ( 1.4 ) Bacterial septicemia. ( 1.5 ) Bone and joint infections. ( 1.6 ) Skin and skin structure infections. ( 1.7 ) Endocarditis. ( 1.8 ) Limitations of Use : Imipenem and Cilastatin for Injection, USP (I.V.) is not indicated in patients with meningitis because safety and efficacy have not been established ( 1.9 ). Imipenem and Cilastatin for Injection, USP (I.V.) is not recommended in pediatric patients with CNS infections because of the risk of seizures ( 1.9 ). Imipenem and Cilastatin for Injection, USP (I.V.) is not recommended in pediatric patients weighing less than 30 kg with impaired renal function ( 1.9 ). Usage : To reduce the development of drug resistant bacteria and maintain the effectiveness of Imipenem and Cilastatin for Injection, USP (I.V.) and other antibacterial drugs, Imipenem and Cilastatin for Injection, USP (I.V.) should be used only to treat infections that are proven or strongly suspected to be caused by bacteria ( 1.10 ). 1.1 Lower Respiratory Tract Infections Imipenem and Cilastatin for Injection, USP (I.V.) for intravenous use is indicated for the treatment of lower respiratory tract infections caused by susceptible strains of Staphylococcus aureus (penicillinase-producing isolates), Acinetobacter species, Enterobacter species, Escherichia coli , Haemophilus influenzae , Haemophilus parainfluenzae , Klebsiella species, Serratia marcescens . 1.2 Urinary Tract Infections (complicated and uncomplicated) Imipenem and Cilastatin for Injection, USP (I.V.) is indicated for the treatment of urinary tract infections (complicated and uncomplicated) caused by susceptible strains of Enterococcus faecalis , Staphylococcus aureus (penicillinase-producing isolates), Enterobacter species, Escherichia coli , Klebsiella species, Morganella morganii , Proteus vulgaris , Providencia rettgeri , Pseudomonas aeruginosa . 1.3 Intra-Abdominal Infections Imipenem and Cilastatin for Injection, USP (I.V.) is indicated for the treatment of intra-abdominal infections caused by susceptible strains of Enterococcus faecalis , Staphylococcus aureus (penicillinase-producing isolates), Staphylococcus epidermidis , Citrobacter species, Enterobacter species, Escherichia coli , Klebsiella species, Morganella morganii , Proteus species, Pseudomonas aeruginosa , Bifidobacterium species, Clostridium species, Eubacterium species, Peptococcus species, Peptostreptococcus species, Propionibacterium species, Bacteroides species including B. fragilis , Fusobacterium species. 1.4 Gynecologic Infections Imipenem and Cilastatin for Injection, USP (I.V.) is indicated for the treatment of gynecologic infections caused by susceptible strains of Enterococcus faecalis , Staphylococcus aureus (penicillinase-producing isolates), Staphylococcus epidermidis , Streptococcus agalactiae (Group B streptococci), Enterobacter species, Escherichia coli , Gardnerella vaginalis , Klebsiella species, Proteus species, Bifidobacterium species, Peptococcus species, Peptostreptococcus species, Propionibacterium species, Bacteroides species including B. fragilis . 1.5 Bacterial Septicemia Imipenem and Cilastatin for Injection, USP (I.V.) is indicated for the treatment of bacterial septicemia caused by susceptible strains of Enterococcus faecalis , Staphylococcus aureus (penicillinase-producing isolates), Enterobacter species, Escherichia coli , Klebsiella species, Pseudomonas aeruginosa , Serratia species, Bacteroides species including B. fragilis . 1.6 Bone and Joint Infections Imipenem and Cilastatin for Injection, USP (I.V.) is indicated for the treatment of bone and joint infections caused by susceptible strains of Enterococcus faecalis , Staphylococcus aureus (penicillinase-producing isolates), Staphylococcus epidermidis , Enterobacter species, Pseudomonas aeruginosa . 1.7 Skin and Skin Structure Infections Imipenem and Cilastatin for Injection, USP (I.V.) is indicated for the treatment of skin and skin structure infections caused by susceptible strains of Enterococcus faecalis , Staphylococcus aureus (penicillinase-producing isolates), Staphylococcus epidermidis , Acinetobacter species, Citrobacter species, Enterobacter species, Escherichia coli , Klebsiella species, Morganella morganii , Proteus vulgaris , Providencia rettgeri , Pseudomonas aeruginosa , Serratia species, Peptococcus species, Peptostreptococcus species, Bacteroides species including B. fragilis , Fusobacterium species. 1.8 Endocarditis Imipenem and Cilastatin for Injection, USP (I.V.) is indicated for the treatment of endocarditis caused by susceptible strains of Staphylococcus aureus (penicillinase-producing isolates). 1.9 Limitations of Use Imipenem and Cilastatin for Injection, USP (I.V.) is not indicated in patients with meningitis because safety and efficacy have not been established. Imipenem and Cilastatin for Injection, USP (I.V.) is not recommended in pediatric patients with CNS infections because of the risk of seizures [see Dosage and Administration ( 2.2 ), Warnings and Precautions ( 5.2 ), and Use in Specific Populations ( 8.4 )] . Imipenem and Cilastatin for Injection, USP (I.V.) is not recommended in pediatric patients less than 30 kg with impaired renal function, as no data are available [see Use in Specific Populations ( 8.4 ), and Dosage and Administration ( 2.2 )] . Periodic assessment of organ system functions, including renal, hepatic and hematopoietic, is advisable during prolonged therapy. 1.10 Usage To reduce the development of drug-resistant bacteria and maintain the effectiveness of Imipenem and Cilastatin for Injection, USP (I.V.) and other antibacterial drugs, Imipenem and Cilastatin for Injection, USP (I.V.) should be used only to treat infections that are proven or strongly suspected to be caused by susceptible bacteria. When culture and susceptibility information are available, they should be considered in selecting or modifying antibacterial therapy. In the absence of such data, local epidemiology and susceptibility patterns may contribute to the empiric selection of therapy."
What are the common side effects of Levofloxacin?,"PNEUMONIA, DYSPNOEA, PYREXIA, NAUSEA, OFF LABEL USE"
What is the AWARE status of Levofloxacin?,Watch
What are the indications for Levofloxacin?,"1 INDICATIONS & USAGE Levofloxacin is a fluoroquinolone antibacterial indicated in adults (18 years of age and older) with infections caused by designated, susceptible bacteria and in pediatric patients where indicated (1, 12.4). • Pneumonia: Nosocomial (1.1) and Community Acquired (1.2, 1.3) • Skin and Skin Structure Infections (SSSI): Complicated (1.4) and Uncomplicated (1.5) • Chronic bacterial prostatitis (1.6) • Inhalational Anthrax, Post-Exposure in adult and pediatric patients (1.7) • Plague in adult and pediatric patients (1.8) • Urinary Tract Infections (UTI): Complicated (1.9, 1.10) and Uncomplicated (1.12) • Acute Pyelonephritis (1.11) • Acute Bacterial Exacerbation of Chronic Bronchitis (1.13) • Acute Bacterial Sinusitis (1.14) Usage To reduce the development of drug-resistant bacteria and maintain the effectiveness of levofloxacin and other antibacterial drugs, levofloxacin should be used only to treat or prevent infections that are proven or strongly suspected to be caused by bacteria (1.15). 1.1 Nosocomial Pneumonia Levofloxacin tablets are indicated in adult patients for the treatment of nosocomial pneumonia due to methicillin-susceptible Staphylococcus aureus, Pseudomonas aeruginosa, Serratia marcescens, Escherichia coli, Klebsiella pneumoniae, Haemophilus influenzae, or Streptococcus pneumoniae. Adjunctive therapy should be used as clinically indicated. Where Pseudomonas aeruginosa is a documented or presumptive pathogen, combination therapy with an anti-pseudomonal β-lactam is recommended [see Clinical Studies ( 14.1) ]. 1.2 Community-Acquired Pneumonia: 7 to 14 day Treatment Regimen Levofloxacin tablets are indicated in adult patients for the treatment of community-acquired pneumonia due to methicillin-susceptible Staphylococcus aureus, Streptococcus pneumoniae (including multi-drug-resistant Streptococcus pneumoniae [MDRSP]), Haemophilus influenzae, Haemophilus parainfluenzae, Klebsiella pneumoniae, Moraxella catarrhalis, Chlamydophila pneumoniae, Legionella pneumophila, or Mycoplasma pneumoniae [see Dosage and Administration (2.1) and Clinical Studies ( 14.2)]. MDRSP isolates are isolates resistant to two or more of the following antibacterials: penicillin (MIC ≥2 mcg/mL), 2nd generation cephalosporins, e.g., cefuroxime, macrolides, tetracyclines and trimethoprim/sulfamethoxazole. 1.3 Community-Acquired Pneumonia: 5-day Treatment Regimen Levofloxacin tablets are indicated in adult patients for the treatment of community-acquired pneumonia due to Streptococcus pneumoniae (excluding multi-drug-resistant isolates [MDRSP]), Haemophilus influenzae, Haemophilus parainfluenzae, Mycoplasma pneumoniae, or Chlamydophila pneumoniae [see Dosage and Administration ( 2.1 ) and Clinical Studies ( 14.3)]. 1.4 Complicated Skin and Skin Structure Infections Levofloxacin tablets are indicated in adult patients for the treatment of complicated skin and skin structure infections due to methicillin-susceptible Staphylococcus aureus, Enterococcus faecalis, Streptococcus pyogenes, or Proteus mirabilis [see Clinical Studies ( 14.5)]. 1.5 Uncomplicated Skin and Skin Structure Infections Levofloxacin tablets are indicated in adult patients for the treatment of uncomplicated skin and skin structure infections (mild to moderate) including abscesses, cellulitis, furuncles, impetigo, pyoderma, wound infections, due to methicillin-susceptible Staphylococcus aureus, or Streptococcus pyogenes. 1.6 Chronic Bacterial Prostatitis Levofloxacin tablets are indicated in adult patients for the treatment of chronic bacterial prostatitis due to Escherichia coli, Enterococcus faecalis, or methicillin-susceptible Staphylococcus epidermidis [see Clinical Studies ( 14.6 )]. 1.7 Inhalational Anthrax (Post-Exposure) Levofloxacin tablets are indicated for inhalational anthrax (post-exposure) to reduce the incidence or progression of disease following exposure to aerosolized Bacillus anthracis in adults and pediatric patients, 6 months of age and older [ see Dosage and Administration ( 2.2)]. The effectiveness of levofloxacin tablets is based on plasma concentrations achieved in humans, a surrogate endpoint reasonably likely to predict clinical benefit. Levofloxacin tablets have not been tested in humans for the post-exposure prevention of inhalation anthrax. The safety of levofloxacin tablets in adults for durations of therapy beyond 28 days or in pediatric patients for durations of therapy beyond 14 days has not been studied. Prolonged levofloxacin tablets therapy should only be used when the benefit outweighs the risk [see Clinical Studies ( 14.9 )]. 1.8 Plague Levofloxacin tablets are indicated for treatment of plague, including pneumonic and septicemic plague, due to Yersinia pestis (Y. pestis) and prophylaxis for plague in adults and pediatric patients, 6 months of age and older [see Dosage and Administration ( 2.2 )]. Efficacy studies of levofloxacin tablets could not be conducted in humans with plague for ethical and feasibility reasons. Therefore, approval of this indication was based on an efficacy study conducted in animals [see Clinical Studies ( 14.10)]. 1.9 Complicated Urinary Tract Infections: 5-day Treatment Regimen Levofloxacin tablets are indicated in adult patients for the treatment of complicated urinary tract infections due to Escherichia coli, Klebsiella pneumoniae, or Proteus mirabilis [see Clinical Studies ( 14.7 )]. 1.10 Complicated Urinary Tract Infections: 10-day Treatment Regimen Levofloxacin tablets are indicated in adult patients for the treatment of complicated urinary tract infections (mild to moderate) due to Enterococcus faecalis, Enterobacter cloacae, Escherichia coli, Klebsiella pneumoniae, Proteus mirabilis, or Pseudomonas aeruginosa [see Clinical Studies (14.8) ]. 1.11 Acute Pyelonephritis: 5 or 10-day Treatment Regimen Levofloxacin tablets are indicated in adult patients for the treatment of acute pyelonephritis caused by Escherichia coli, including cases with concurrent bacteremia [see Clinical Studies (14.7 , 14.8 )]. 1.12 Uncomplicated Urinary Tract Infections Levofloxacin tablets are indicated in adult patients for the treatment of uncomplicated urinary tract infections (mild to moderate) due to Escherichia coli, Klebsiella pneumoniae, or Staphylococcus saprophyticus. Because fluoroquinolones, including levofloxacin tablets, have been associated with serious adverse reactions [see Warnings and Precautions ( 5.1 to 5.15 )] and for some patients uncomplicated urinary tract infection is self-limiting, reserve levofloxacin for treatment of uncomplicated urinary tract infections in patients who have no alternative treatment options. 1.13 Acute Bacterial Exacerbation of Chronic Bronchitis Levofloxacin tablets are indicated in adult patients for the treatment of acute bacterial exacerbation of chronic bronchitis (ABECB) due to methicillin-susceptible Staphylococcus aureus, Streptococcus pneumoniae, Haemophilus influenzae, Haemophilus parainfluenzae, or Moraxella catarrhalis. Because fluoroquinolones, including levofloxacin tablets, have been associated with serious adverse reactions [see Warnings and Precautions ( 5.1 to 5.15 )] and for some patients ABECB is self-limiting, reserve levofloxacin tablets for treatment of ABECB in patients who have no alternative treatment options. 1.14 Acute Bacterial Sinusitis: 5-day and 10 to 14 day Treatment Regimens Levofloxacin tablets are indicated in adult patients for the treatment of acute bacterial sinusitis (ABS) due to Streptococcus pneumoniae, Haemophilus influenzae, or Moraxella catarrhalis [see Clinical Studies ( 14.4)]. Because fluoroquinolones, including levofloxacin tablets, have been associated with serious adverse reactions [see Warnings and Precautions ( 5.1 to 5.15 )] and for some patients ABS is self-limiting, reserve levofloxacin tablets for treatment of ABS in patients who have no alternative treatment options. 1.15 Usage To reduce the development of drug-resistant bacteria and maintain the effectiveness of levofloxacin tablets and other antibacterial drugs, levofloxacin tablets should be used only to treat or prevent infections that are proven or strongly suspected to be caused by susceptible bacteria. When culture and susceptibility information are available, they should be considered in selecting or modifying antibacterial therapy. In the absence of such data, local epidemiology and susceptibility patterns may contribute to the empiric selection of therapy. Culture and susceptibility testing Appropriate culture and susceptibility tests should be performed before treatment in order to isolate and identify organisms causing the infection and to determine their susceptibility to levofloxacin [see Microbiology ( 12.4)] . Therapy with levofloxacin tablets may be initiated before results of these tests are known; once results become available, appropriate therapy should be selected. As with other drugs in this class, some isolates of Pseudomonas aeruginosa may develop resistance fairly rapidly during treatment with levofloxacin tablets. Culture and susceptibility testing performed periodically during therapy will provide information about the continued susceptibility of the pathogens to the antimicrobial agent and also the possible emergence of bacterial resistance."
What are the common side effects of Linezolid?,"OFF LABEL USE, THROMBOCYTOPENIA, DRUG INEFFECTIVE, ANAEMIA, DRUG INTERACTION"
What is the AWARE status of Linezolid?,Reserve
What are the indications for Linezolid?,"1 INDICATIONS AND USAGE ZYVOX is an oxazolidinone-class antibacterial indicated in adults and children for the treatment of the following infections caused by susceptible Gram-positive bacteria: Nosocomial pneumonia ( 1.1 ); Community-acquired pneumonia ( 1.2 ); Complicated skin and skin structure infections, including diabetic foot infections, without concomitant osteomyelitis ( 1.3 ); Uncomplicated skin and skin structure infections ( 1.4 ); Vancomycin-resistant Enterococcus faecium infections. ( 1.5 ) Limitations of Use ( 1.6 ): • ZYVOX is not indicated for the treatment of Gram-negative infections. • The safety and efficacy of ZYVOX formulations given for longer than 28 days have not been evaluated in controlled clinical trials. To reduce the development of drug-resistant bacteria and maintain the effectiveness of ZYVOX formulations and other antibacterial drugs, ZYVOX should be used only to treat or prevent infections that are proven or strongly suspected to be caused by bacteria. ( 1.7 ) 1.1 Nosocomial Pneumonia ZYVOX is indicated for the treatment of nosocomial pneumonia caused by Staphylococcus aureus (methicillin-susceptible and -resistant isolates) or Streptococcus pneumoniae [ see Clinical Studies (14) ]. 1.2 Community-acquired Pneumonia ZYVOX is indicated for the treatment of community-acquired pneumonia caused by Streptococcus pneumoniae , including cases with concurrent bacteremia, or Staphylococcus aureus (methicillin-susceptible isolates only) [ see Clinical Studies (14) ]. 1.3 Complicated Skin and Skin Structure Infections ZYVOX is indicated for the treatment of complicated skin and skin structure infections, including diabetic foot infections, without concomitant osteomyelitis, caused by Staphylococcus aureus (methicillin-susceptible and -resistant isolates), Streptococcus pyogenes , or Streptococcus agalactiae . ZYVOX has not been studied in the treatment of decubitus ulcers [ see Clinical Studies (14) ]. 1.4 Uncomplicated Skin and Skin Structure Infections ZYVOX is indicated for the treatment of uncomplicated skin and skin structure infections caused by Staphylococcus aureus (methicillin-susceptible isolates only) or Streptococcus pyogenes [ see Clinical Studies (14) ]. 1.5 Vancomycin-resistant Enterococcus faecium Infections ZYVOX is indicated for the treatment of vancomycin - resistant Enterococcus faecium infections, including cases with concurrent bacteremia [ see Clinical Studies (14) ]. 1.6 Limitations of Use • ZYVOX is not indicated for the treatment of Gram-negative infections. It is critical that specific Gram-negative therapy be initiated immediately if a concomitant Gram-negative pathogen is documented or suspected [ see Warnings and Precautions (5.4) ]. • The safety and efficacy of ZYVOX formulations given for longer than 28 days have not been evaluated in controlled clinical trials [ see Clinical Studies (14) ]. 1.7 Usage To reduce the development of drug-resistant bacteria and maintain the effectiveness of ZYVOX and other antibacterial drugs, ZYVOX should be used only to treat or prevent infections that are proven or strongly suspected to be caused by susceptible bacteria. When culture and susceptibility information are available, they should be considered in selecting or modifying antibacterial therapy. In the absence of such data, local epidemiology and susceptibility patterns may contribute to the empiric selection of therapy."
What are the common side effects of Meropenem?,"DRUG INEFFECTIVE, OFF LABEL USE, PYREXIA, PNEUMONIA, SEPSIS"
What is the AWARE status of Meropenem?,Reserve
What are the indications for Meropenem?,"1 INDICATIONS AND USAGE Meropenem for Injection, USP is a penem antibacterial indicated for the treatment of: Complicated skin and skin structure infections (adult patients and pediatric patients 3 months of age and older only). ( 1.1 ) Complicated intra-abdominal infections (adult and pediatric patients). ( 1.2 ) Bacterial meningitis (pediatric patients 3 months of age and older only). ( 1.3 ) To reduce the development of drug-resistant bacteria and maintain the effectiveness of Meropenem for Injection, USP and other antibacterial drugs, Meropenem for Injection, USP should only be used to treat or prevent infections that are proven or strongly suspected to be caused by susceptible bacteria. 1.1 Complicated Skin and Skin Structure Infections (Adult Patients and Pediatric Patients 3 Months of Age and Older Only) Meropenem for Injection, USP is indicated for the treatment of complicated skin and skin structure infections (cSSSI) due to Staphylococcus aureus (methicillin-susceptible isolates only), Streptococcus pyogenes, Streptococcus agalactiae , viridans group streptococci, Enterococcus faecalis (vancomycin-susceptible isolates only), Pseudomonas aeruginosa, Escherichia coli, Proteus mirabilis, Bacteroides fragilis, and Peptostreptococcus species. 1.2 Complicated Intra-abdominal Infections (Adult and Pediatric Patients) Meropenem for Injection, USP is indicated for the treatment of complicated appendicitis and peritonitis caused by viridans group streptococci, Escherichia coli, Klebsiella pneumoniae, Pseudomonas aeruginosa, Bacteroides fragilis, B. thetaiotaomicron, and Peptostreptococcus species. 1.3 Bacterial Meningitis (Pediatric Patients 3 Months of Age and Older Only) Meropenem for Injection, USP is indicated for the treatment of bacterial meningitis caused by Haemophilus influenzae, Neisseria meningitidis and penicillin-susceptible isolates of Streptococcus pneumoniae. Meropenem for Injection, USP has been found to be effective in eliminating concurrent bacteremia in association with bacterial meningitis. 1.4 Usage To reduce the development of drug-resistant bacteria and maintain the effectiveness of Meropenem for Injection, USP and other antibacterial drugs, Meropenem for Injection, USP should only be used to treat or prevent infections that are proven or strongly suspected to be caused by susceptible bacteria. When culture and susceptibility information are available, they should be considered in selecting or modifying antibacterial therapy. In the absence of such data, local epidemiology and susceptibility patterns may contribute to the empiric selection of therapy."
What are the common side effects of Metronidazole?,"DRUG INEFFECTIVE, NAUSEA, DIARRHOEA, OFF LABEL USE, PYREXIA"
What is the AWARE status of Metronidazole?,Access
What are the indications for Metronidazole?,"INDICATIONS & USAGE Metronidazole vaginal gel USP, 0.75% is indicated in the treatment of bacterial vaginosis (formerly referred to as Haemophilus vaginitis, Gardnerella vaginitis, nonspecific vaginitis, Corynebacterium vaginitis, or anaerobic vaginosis). NOTE: For purposes of this indication, a clinical diagnosis of bacterial vaginosis is usually defined by the presence of a homogeneous vaginal discharge that (a) has a pH of greater than 4.5, (b) emits a “fishy” amine odor when mixed with a 10% KOH solution, and (c) contains clue cells on microscopic examination. Gram’s stain results consistent with a diagnosis of bacterial vaginosis include (a) markedly reduced or absent Lactobacillus morphology, (b) predominance of Gardnerella morphotype, and (c) absent or few white blood cells. Other pathogens commonly associated with vulvovaginitis, e.g., Trichomonas vaginalis , Chlamydia trachomatis , N . gonorrhoeae , Candida albicans , and Herpes simplex virus should be ruled out."
What are the common side effects of Minocycline?,"DRUG INEFFECTIVE, OFF LABEL USE, NAUSEA, PAIN, FATIGUE"
What is the AWARE status of Minocycline?,Reserve
What are the indications for Minocycline?,"1 INDICATIONS AND USAGE Minocycline hydrochloride extended-release tablets is tetracycline-class drug indicated to treat only inflammatory lesions of non-nodular moderate to severe acne vulgaris in patients 12 years of age and older. ( 1 ) 1.1 Indication Minocycline hydrochloride extended-release tablets are indicated to treat only inflammatory lesions of non-nodular moderate to severe acne vulgaris in patients 12 years of age and older. 1.2 Limitations of Use Minocycline hydrochloride extended-release tablets did not demonstrate any effect on non-inflammatory acne lesions. Safety of minocycline hydrochloride extended-release tablets has not been established beyond 12 weeks of use. This formulation of minocycline has not been evaluated in the treatment of infections [see CLINICAL STUDIES ( 14 ) ]. To reduce the development of drug-resistant bacteria as well as to maintain the effectiveness of other antibacterial drugs, minocycline hydrochloride extended-release tablets should be used only as indicated [see WARNINGS AND PRECAUTIONS ( 5.11 ) ]."
What are the common side effects of Penicillin?,"DRUG HYPERSENSITIVITY, RASH, FATIGUE, DYSPNOEA, CHRONIC KIDNEY DISEASE"
What is the AWARE status of Penicillin?,Access
What are the indications for Penicillin?,"INDICATIONS AND USAGE To reduce the development of drug-resistant bacteria and maintain the effectiveness of Bicillin L-A and other antibacterial drugs, Bicillin L-A should be used only to treat or prevent infections that are proven or strongly suspected to be caused by bacteria. When culture and susceptibility information are available, they should be considered in selecting or modifying antibacterial therapy. In the absence of such data, local epidemiology and susceptibility patterns may contribute to the empiric selection of therapy. Intramuscular penicillin G benzathine is indicated in the treatment of infections due to penicillin-G-sensitive microorganisms that are susceptible to the low and very prolonged serum levels common to this particular dosage form. Therapy should be guided by bacteriological studies (including sensitivity tests) and by clinical response. The following infections will usually respond to adequate dosage of intramuscular penicillin G benzathine: Mild-to-moderate infections of the upper-respiratory tract due to susceptible streptococci. Venereal infections —Syphilis, yaws, bejel, and pinta. Medical Conditions in which Penicillin G Benzathine Therapy is indicated as Prophylaxis: Rheumatic fever and/or chorea —Prophylaxis with penicillin G benzathine has proven effective in preventing recurrence of these conditions. It has also been used as follow-up prophylactic therapy for rheumatic heart disease and acute glomerulonephritis."
What is the AWARE status of Piperacillin.tazobactam?,Watch
What are the common side effects of Tigecycline?,"DRUG INEFFECTIVE, OFF LABEL USE, NAUSEA, SEPSIS, THROMBOCYTOPENIA"
What is the AWARE status of Tigecycline?,Reserve
